system:index,date,latitude,longitude,mndwi,.geo
20250103T053129_20250103T054245_T43QCA,2025-01-03,18.52163651356924,74.02188645346611,-0.38817471702280004,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,2025-01-13,18.52163651356924,74.02188645346611,-0.2359033469746142,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,2025-01-18,18.52163651356924,74.02188645346611,-0.3568799244853212,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,2025-01-23,18.52163651356924,74.02188645346611,-0.36693536281873634,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,2025-02-02,18.52163651356924,74.02188645346611,-0.3796438210903069,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,2025-02-07,18.52163651356924,74.02188645346611,-0.39757380978220597,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,2025-02-12,18.52163651356924,74.02188645346611,-0.39841206526997375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,2025-02-17,18.52163651356924,74.02188645346611,-0.40878553882185586,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,2025-02-22,18.52163651356924,74.02188645346611,-0.46042303511084787,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,2025-02-27,18.52163651356924,74.02188645346611,-0.45706364439411334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,2025-03-04,18.52163651356924,74.02188645346611,-0.45916314654387025,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,2025-03-09,18.52163651356924,74.02188645346611,-0.44065160063170455,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,2025-03-14,18.52163651356924,74.02188645346611,-0.44755789641301164,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,2025-03-19,18.52163651356924,74.02188645346611,-0.4158004042993725,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,2025-03-24,18.52163651356924,74.02188645346611,-0.41197441057255413,"{""type"":""MultiPoint"",""coordinates"":[]}"
