system:index,date,latitude,longitude,ndsi,.geo
20250103T053129_20250103T054245_T43QCA,2025-01-03,18.65500001695405,73.70499999997936,0.3911344548473847,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,2025-01-13,18.65500001695405,73.70499999997936,0.24609019281443315,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,2025-01-18,18.65500001695405,73.70499999997936,0.3595311904383017,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,2025-01-23,18.65500001695405,73.70499999997936,0.3656065812724407,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,2025-02-02,18.65500001695405,73.70499999997936,0.43080505674970243,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,2025-02-07,18.65500001695405,73.70499999997936,0.34778458063075907,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,2025-02-12,18.65500001695405,73.70499999997936,0.4207651169261441,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,2025-02-17,18.65500001695405,73.70499999997936,0.44229530101096215,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,2025-02-22,18.65500001695405,73.70499999997936,0.38786939086796496,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,2025-02-27,18.65500001695405,73.70499999997936,0.42014515095564037,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,2025-03-04,18.65500001695405,73.70499999997936,0.4043064295252746,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,2025-03-09,18.65500001695405,73.70499999997936,0.4161962128974554,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,2025-03-14,18.65500001695405,73.70499999997936,0.43346093301026334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,2025-03-19,18.65500001695405,73.70499999997936,0.43908322395115523,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,2025-03-24,18.65500001695405,73.70499999997936,0.4061149877474441,"{""type"":""MultiPoint"",""coordinates"":[]}"
