system:index,date,latitude,longitude,ndwi,.geo
20250103T053129_20250103T054245_T43QCA,2025-01-03,18.52163651356924,74.02188645346611,-0.5531797660113666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,2025-01-13,18.52163651356924,74.02188645346611,-0.3894918447825015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,2025-01-18,18.52163651356924,74.02188645346611,-0.4610120968636358,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,2025-01-23,18.52163651356924,74.02188645346611,-0.4914338490174752,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,2025-02-02,18.52163651356924,74.02188645346611,-0.4737062824246826,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,2025-02-07,18.52163651356924,74.02188645346611,-0.47820063557239206,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,2025-02-12,18.52163651356924,74.02188645346611,-0.48164834463588385,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,2025-02-17,18.52163651356924,74.02188645346611,-0.4864724918621763,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,2025-02-22,18.52163651356924,74.02188645346611,-0.5119480265630334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,2025-02-27,18.52163651356924,74.02188645346611,-0.5246594086742811,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,2025-03-04,18.52163651356924,74.02188645346611,-0.5339430459251653,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,2025-03-09,18.52163651356924,74.02188645346611,-0.5325789476479432,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,2025-03-14,18.52163651356924,74.02188645346611,-0.5314107218274553,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,2025-03-19,18.52163651356924,74.02188645346611,-0.5149125586007766,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,2025-03-24,18.52163651356924,74.02188645346611,-0.5210854769253113,"{""type"":""MultiPoint"",""coordinates"":[]}"
