system:index,date,latitude,longitude,sarwi,.geo
20250103T053129_20250103T054245_T43QCA,2025-01-03,18.5216365135558,74.02188645373674,-0.5594563952960753,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,2025-01-13,18.5216365135558,74.02188645373674,-0.4110824106053187,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,2025-01-18,18.5216365135558,74.02188645373674,-0.48334055722039637,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,2025-01-23,18.5216365135558,74.02188645373674,-0.5112999330746002,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,2025-02-02,18.5216365135558,74.02188645373674,-0.49842879316068633,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,2025-02-07,18.5216365135558,74.02188645373674,-0.5026203023631856,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,2025-02-12,18.5216365135558,74.02188645373674,-0.5004983296963642,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,2025-02-17,18.5216365135558,74.02188645373674,-0.5037114222386017,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,2025-02-22,18.5216365135558,74.02188645373674,-0.535385715651491,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,2025-02-27,18.5216365135558,74.02188645373674,-0.5472644329097218,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,2025-03-04,18.5216365135558,74.02188645373674,-0.5553079971110808,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,2025-03-09,18.5216365135558,74.02188645373674,-0.5442710043646415,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,2025-03-14,18.5216365135558,74.02188645373674,-0.551688985330613,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,2025-03-19,18.5216365135558,74.02188645373674,-0.5287604878157186,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,2025-03-24,18.5216365135558,74.02188645373674,-0.532951283030438,"{""type"":""MultiPoint"",""coordinates"":[]}"
