system:index,awei,date,latitude,longitude,.geo
20250103T053129_20250103T054245_T43QCA,-6214.676182337164,2025-01-03,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,-6255.872020418262,2025-01-13,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,-7258.041636453617,2025-01-18,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,-6340.12160031306,2025-01-23,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,-6929.5167265172695,2025-02-02,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,-7624.417253662971,2025-02-07,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,-7521.676625461823,2025-02-12,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,-7755.124753979488,2025-02-17,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,-9137.032468952495,2025-02-22,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,-7529.612913343227,2025-02-27,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,-8039.870765857533,2025-03-04,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,-7312.859822980332,2025-03-09,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,-7344.635201938235,2025-03-14,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,-7345.153585856841,2025-03-19,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,-7329.465401747178,2025-03-24,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
