system:index,date,latitude,longitude,si,.geo
20250103T053129_20250103T054245_T43QCA,2025-01-03,18.65500001695405,73.70499999997936,28068.854873402754,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,2025-01-13,18.65500001695405,73.70499999997936,39892.23918282709,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,2025-01-18,18.65500001695405,73.70499999997936,28987.20723433332,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,2025-01-23,18.65500001695405,73.70499999997936,26920.53007197903,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,2025-02-02,18.65500001695405,73.70499999997936,26190.457635565268,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,2025-02-07,18.65500001695405,73.70499999997936,33428.52720093437,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,2025-02-12,18.65500001695405,73.70499999997936,28738.355476339486,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,2025-02-17,18.65500001695405,73.70499999997936,31458.750853328034,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,2025-02-22,18.65500001695405,73.70499999997936,33474.574286403375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,2025-02-27,18.65500001695405,73.70499999997936,34260.86144832339,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,2025-03-04,18.65500001695405,73.70499999997936,35228.47859972356,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,2025-03-09,18.65500001695405,73.70499999997936,37733.17518100299,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,2025-03-14,18.65500001695405,73.70499999997936,35532.17883159807,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,2025-03-19,18.65500001695405,73.70499999997936,38550.46454627855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,2025-03-24,18.65500001695405,73.70499999997936,38643.05444296363,"{""type"":""MultiPoint"",""coordinates"":[]}"
