system:index,date,ewi,latitude,longitude,.geo
20250103T053129_20250103T054245_T43QCA,2025-01-03,-0.15506245273441221,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,2025-01-13,-0.11191731700458062,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,2025-01-18,-0.15978609200433266,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,2025-01-23,-0.1666374371596154,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,2025-02-02,-0.17406360466435877,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,2025-02-07,-0.2066484954506759,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,2025-02-12,-0.17867597338002422,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,2025-02-17,-0.20776669877693926,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,2025-02-22,-0.22877862382287448,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,2025-02-27,-0.23720985648864498,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,2025-03-04,-0.22681975345103278,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,2025-03-09,-0.23706965203350158,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,2025-03-14,-0.22329488446467205,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,2025-03-19,-0.223080047240483,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,2025-03-24,-0.20522553155543968,18.52163651356924,74.02188645346611,"{""type"":""MultiPoint"",""coordinates"":[]}"
